PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Serge Ibaka,TOR,12/28/2018,TOR @ ORL,L,32,17,8,16,50,1,3,33.3,0,0,-,3,5,8,3,0,4,2,2,-11
Serge Ibaka,TOR,12/26/2018,TOR @ MIA,W,30,6,2,10,20,1,2,50,1,2,50,1,2,3,4,0,1,1,3,-11
Serge Ibaka,TOR,12/16/2018,TOR @ DEN,L,34,14,6,10,60,1,1,100,1,1,100,2,5,7,0,0,1,1,6,8
Serge Ibaka,TOR,12/14/2018,TOR @ POR,L,35,18,8,12,66.7,0,1,0,2,2,100,1,5,6,1,0,1,1,3,5
Serge Ibaka,TOR,12/12/2018,TOR @ GSW,W,29,20,7,16,43.8,0,3,0,6,6,100,2,10,12,1,1,2,1,0,12
Serge Ibaka,TOR,12/11/2018,TOR @ LAC,W,24,25,11,18,61.1,1,3,33.3,2,2,100,2,7,9,2,0,3,1,3,22
Serge Ibaka,TOR,12/09/2018,TOR vs. MIL,L,32,22,9,21,42.9,4,11,36.4,0,0,-,1,5,6,4,2,2,2,2,6
Serge Ibaka,TOR,12/07/2018,TOR @ BKN,L,20,8,2,7,28.6,0,1,0,4,4,100,2,4,6,1,0,2,2,2,-9
Serge Ibaka,TOR,12/05/2018,TOR vs. PHI,W,24,18,7,13,53.8,0,1,0,4,4,100,2,6,8,2,0,0,1,1,-4
Serge Ibaka,TOR,12/03/2018,TOR vs. DEN,L,31,15,6,9,66.7,1,4,25,2,2,100,0,5,5,2,0,1,2,4,-6
Serge Ibaka,TOR,12/01/2018,TOR @ CLE,W,31,10,4,9,44.4,0,1,0,2,2,100,1,5,6,1,0,0,1,2,20
Serge Ibaka,TOR,11/29/2018,TOR vs. GSW,W,37,20,8,13,61.5,1,3,33.3,3,4,75,1,3,4,1,0,1,3,4,16
Serge Ibaka,TOR,11/27/2018,TOR @ MEM,W,35,16,7,11,63.6,0,2,0,2,2,100,1,2,3,2,0,1,3,4,10
Serge Ibaka,TOR,11/25/2018,TOR vs. MIA,W,24,8,3,9,33.3,0,0,-,2,2,100,5,2,7,1,0,1,0,2,-14
Serge Ibaka,TOR,11/23/2018,TOR vs. WAS,W,27,12,5,9,55.6,1,2,50,1,2,50,3,6,9,2,1,4,3,5,23
Serge Ibaka,TOR,11/21/2018,TOR @ ATL,W,21,19,8,11,72.7,1,4,25,2,2,100,3,6,9,1,0,0,4,4,4
Serge Ibaka,TOR,11/20/2018,TOR @ ORL,W,30,14,7,15,46.7,0,3,0,0,0,-,2,7,9,4,0,1,2,2,2
