MatchID,DATE,MATCHUP,TYPE,W_L,MIN,PTS,FGM,FGA,FGPercentage,3PM,3PA,3PPercentage,FTM,FTA,FTPercentage,OREB,DREB,REB,AST,STL,BLK,TOV,PF,ScoreDiff
R0023,11/29/2018,GSW,HOME,W,265,131,47,90,52.2,15,38,39.5,22,24,91.7,7,30,37,25,5,6,14,23,3
R0024,12/1/2018,CLE,AWAY,W,241,106,39,80,48.8,7,26,26.9,21,25,84,6,36,42,15,5,5,10,19,11
R0025,12/3/2018,DEN,HOME,L,239,103,40,87,46,11,41,26.8,12,12,100,7,34,41,28,11,5,17,21,-3
R0026,12/5/2018,PHI,HOME,W,240,113,43,100,43,8,29,27.6,19,22,86.4,17,36,53,25,12,3,11,13,11
R0027,12/7/2018,BKN,AWAY,L,266,105,35,89,39.3,11,35,31.4,24,29,82.8,6,35,41,25,9,7,15,19,-1
R0028,12/9/2018,MIL,HOME,L,238,99,39,94,41.5,15,44,34.1,6,7,85.7,11,34,45,24,6,11,11,21,-5
R0029,12/11/2018,LAC,AWAY,W,240,123,50,96,52.1,14,29,48.3,9,12,75,10,33,43,34,8,6,7,22,24
R0030,12/12/2018,GSW,AWAY,W,241,113,44,91,48.4,9,28,32.1,16,19,84.2,10,38,48,27,12,3,11,17,20
R0031,12/14/2018,POR,AWAY,L,241,122,43,78,55.1,18,31,58.1,18,21,85.7,6,31,37,20,4,4,16,21,-6
R0032,12/16/2018,DEN,AWAY,L,241,86,35,88,39.8,7,35,20,9,14,64.3,13,38,51,13,5,4,11,16,-9
R0033,12/19/2018,IND,HOME,W,242,99,38,93,40.9,7,30,23.3,16,21,76.2,11,32,43,20,15,9,9,19,3
R0034,12/21/2018,CLE,HOME,W,239,126,48,91,52.7,9,31,29,21,26,80.8,13,31,44,21,9,5,8,23,16
R0035,12/22/2018,PHI,AWAY,L,239,101,37,95,38.9,10,40,25,17,19,89.5,8,33,41,17,5,2,15,24,-25
R0036,12/26/2018,MIA,AWAY,W,239,106,37,79,46.8,13,30,43.3,19,23,82.6,10,33,43,19,8,2,16,16,2
R0037,12/28/2018,ORL,AWAY,L,240,87,28,95,29.5,12,34,35.3,19,24,79.2,14,27,41,18,4,10,11,21,-29
R0038,12/30/2018,CHI,HOME,W,239,95,34,92,37,9,33,27.3,18,20,90,17,35,52,17,5,8,11,15,6
R0039,1/1/2019,UTA,HOME,W,239,122,45,82,54.9,7,20,35,25,35,71.4,5,40,45,18,4,6,9,21,6
R0040,1/3/2019,SAS,AWAY,L,241,107,39,87,44.8,6,30,20,23,29,79.3,9,30,39,21,9,6,10,23,-18
R0041,1/5/2019,MIL,AWAY,W,240,123,42,82,51.2,14,31,45.2,25,31,80.6,4,34,38,28,9,6,11,22,7
R0042,1/6/2019,IND,HOME,W,240,121,44,85,51.8,17,33,51.5,16,17,94.1,8,33,41,30,9,4,15,21,16
R0043,1/8/2019,ATL,HOME,W,239,104,37,80,46.3,10,32,31.3,20,27,74.1,6,33,39,26,18,7,18,20,3
