MatchID,PlayerID,Minutes,Points,FGM,FGA,FGPercentage,3PM,3PA,3PPercentage,FTM,FTA,FTPercentage,OREB,DREB,REB,AST,STL,BLK,TOV,PF,ScoreDiff
P0017,RAP020,36,14,5,15,33.3,2,7,28.6,2,2,100,3,10,13,2,1,3,1,4,8
P0017,RAP022,19,6,1,4,25,0,0,,4,4,100,0,6,6,0,0,0,0,0,9
P0018,RAP003,14,0,0,4,0,0,4,0,0,0,,0,2,2,1,2,0,0,2,-7
P0018,RAP006,34,14,5,6,83.3,4,5,80,0,0,,0,0,0,2,0,0,0,2,12
P0018,RAP012,41,27,9,22,40.9,1,8,12.5,8,11,72.7,4,13,17,7,2,2,6,3,7
P0018,RAP013,41,17,6,10,60,3,4,75,2,2,100,0,5,5,8,1,0,1,5,0
P0018,RAP017,26,6,2,3,66.7,2,2,100,0,0,,0,3,3,2,1,1,0,5,1
P0018,RAP018,17,9,3,5,60,1,1,100,2,3,66.7,0,4,4,0,0,0,1,1,6
P0018,RAP020,41,18,7,17,41.2,1,3,33.3,3,4,75,2,2,4,0,1,1,2,2,8
P0018,RAP022,25,9,4,7,57.1,0,0,,1,2,50,0,3,3,0,0,0,0,4,3
P0019,RAP003,30,11,4,9,44.4,3,7,42.9,0,0,,1,1,2,1,1,2,0,1,2
P0019,RAP006,33,15,5,8,62.5,1,4,25,4,6,66.7,0,1,1,2,0,0,1,3,11
P0019,RAP012,43,23,5,14,35.7,3,6,50,10,12,83.3,1,7,8,5,1,0,2,3,11
P0019,RAP013,36,7,2,9,22.2,1,5,20,2,2,100,0,6,6,9,1,0,3,5,11
P0019,RAP017,30,20,6,10,60,2,4,50,6,6,100,0,7,7,1,2,1,0,6,8
P0019,RAP018,5,2,0,1,0,0,1,0,2,2,100,0,1,1,0,0,0,0,2,2
P0019,RAP020,40,32,14,17,82.4,2,3,66.7,2,2,100,3,5,8,5,1,2,2,3,4
P0019,RAP021,7,3,1,2,50,1,1,100,0,0,,0,0,0,1,0,0,0,0,-3
P0019,RAP022,17,5,2,7,28.6,0,2,0,1,2,50,2,1,3,1,0,1,2,3,-1
P0020,RAP003,26,8,3,7,42.9,2,5,40,0,0,,2,3,5,1,0,0,3,2,-3
P0020,RAP006,38,17,7,17,41.2,2,8,25,1,1,100,2,2,4,2,3,0,2,2,3
P0020,RAP012,39,34,8,20,40,2,9,22.2,16,16,100,5,9,14,3,1,1,5,1,-14
P0020,RAP013,28,13,4,11,36.4,3,7,42.9,2,3,66.7,0,1,1,2,1,0,2,6,-17
P0020,RAP017,31,6,2,7,28.6,0,2,0,2,2,100,0,6,6,2,0,1,2,4,-6
P0020,RAP018,21,7,3,7,42.9,1,3,33.3,0,0,,0,1,1,2,1,0,1,0,13
P0020,RAP020,41,12,5,18,27.8,0,3,0,2,4,50,3,5,8,5,0,0,0,4,-4
P0020,RAP022,16,7,3,7,42.9,1,1,100,0,0,,3,7,10,0,2,0,0,3,3
P0021,RAP003,27,18,6,10,60,6,10,60,0,0,,0,5,5,1,1,1,1,5,11
P0021,RAP006,33,11,4,8,50,3,6,50,0,0,,1,2,3,2,3,0,0,3,4
P0021,RAP008,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,2
P0021,RAP009,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,2
P0021,RAP012,38,30,9,17,52.9,2,6,33.3,10,11,90.9,2,5,7,6,2,2,4,3,6
P0021,RAP013,43,23,8,16,50,5,9,55.6,2,2,100,0,4,4,9,1,1,3,3,14
P0021,RAP016,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,2
P0021,RAP017,26,17,6,11,54.5,1,4,25,4,4,100,0,7,7,4,0,0,2,4,14
P0021,RAP018,6,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,-2
P0021,RAP020,39,18,8,16,50,0,3,0,2,2,100,1,8,9,6,0,0,2,0,22
P0021,RAP021,2,0,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,-5
P0021,RAP022,22,6,2,4,50,0,0,,2,2,100,1,4,5,1,2,6,2,4,0
P0022,RAP003,30,3,1,8,12.5,1,7,14.3,0,0,,1,2,3,1,3,0,2,5,13
P0022,RAP006,29,8,3,9,33.3,2,5,40,0,0,,0,4,4,6,0,0,2,1,12
P0022,RAP012,41,36,11,22,50,5,9,55.6,9,9,100,1,11,12,2,4,1,0,4,13
P0022,RAP013,37,10,3,12,25,0,4,0,4,4,100,0,2,2,7,3,0,2,4,5
P0022,RAP017,28,9,3,8,37.5,1,4,25,2,2,100,2,5,7,3,1,0,1,2,1
P0022,RAP018,11,0,0,1,0,0,0,,0,0,,0,1,1,1,1,0,0,0,8
P0022,RAP020,41,19,6,14,42.9,0,2,0,7,8,87.5,2,4,6,1,0,1,1,0,5
P0022,RAP021,2,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,-3
P0022,RAP022,22,20,9,12,75,1,1,100,1,1,100,1,3,4,1,0,2,1,5,11
P0023,RAP003,33,4,2,7,28.6,0,4,0,0,0,,3,2,5,0,1,0,1,1,5
P0023,RAP006,27,11,3,7,42.9,3,6,50,2,2,100,0,2,2,1,0,0,0,3,-12
P0023,RAP012,41,26,9,24,37.5,2,7,28.6,6,8,75,6,6,12,6,2,2,5,0,1
P0023,RAP013,42,18,8,16,50,1,6,16.7,1,2,50,1,3,4,6,1,2,2,4,4
P0023,RAP017,31,17,4,6,66.7,2,3,66.7,7,8,87.5,0,8,8,2,0,0,1,5,4
P0023,RAP018,12,2,1,2,50,0,1,0,0,0,,0,2,2,1,0,0,0,0,6
P0023,RAP020,34,12,6,15,40,0,4,0,0,1,0,1,3,4,2,1,0,2,2,-5
P0023,RAP021,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,-3
P0023,RAP022,17,15,5,8,62.5,0,1,0,5,6,83.3,2,4,6,1,1,1,2,4,-5
P0024,RAP003,18,0,0,0,,0,0,,0,0,,0,1,1,3,1,0,1,1,7
P0024,RAP006,34,22,6,14,42.9,5,11,45.5,5,5,100,1,1,2,0,1,0,1,1,-10
P0024,RAP012,41,22,7,16,43.8,1,5,20,7,8,87.5,1,5,6,3,2,1,2,4,-2
P0024,RAP013,42,26,9,16,56.3,4,7,57.1,4,6,66.7,2,5,7,10,3,0,3,5,16
P0024,RAP017,27,3,0,5,0,0,2,0,3,4,75,3,6,9,4,0,0,1,4,-7
P0024,RAP018,11,0,0,2,0,0,1,0,0,0,,0,1,1,0,0,0,1,2,5
P0024,RAP020,46,26,10,17,58.8,3,6,50,3,4,75,2,8,10,3,1,1,2,2,2
P0024,RAP022,22,15,7,12,58.3,0,1,0,1,2,50,2,1,3,2,0,0,1,4,9
