MatchID,PlayerID,Minutes,Points,FGM,FGA,FGPercentage,3PM,3PA,3PPercentage,FTM,FTA,FTPercentage,OREB,DREB,REB,AST,STL,BLK,TOV,PF,ScoreDiff
R0006,RAP013,36,20,8,14,57.1,3,6,50,1,2,50,0,4,4,12,0,1,0,2,6
R0006,RAP012,35,21,7,16,43.8,1,3,33.3,6,6,100,1,8,9,5,3,1,0,0,5
R0006,RAP010,22,17,7,16,43.8,0,1,0,3,4,75,5,3,8,1,1,0,1,4,12
R0006,RAP003,30,15,4,8,50,4,7,57.1,3,3,100,2,6,8,0,1,1,0,3,4
R0006,RAP002,11,10,4,6,66.7,2,2,100,0,0,,0,2,2,0,1,0,1,4,-5
R0007,RAP022,29,30,12,21,57.1,2,5,40,4,4,100,2,7,9,1,0,1,0,3,7
R0007,RAP020,33,22,10,16,62.5,0,4,0,2,3,66.7,2,6,8,2,4,1,2,2,-11
R0007,RAP018,27,8,2,3,66.7,2,3,66.7,2,2,100,0,3,3,3,0,0,0,2,-12
R0007,RAP015,13,3,1,6,16.7,1,6,16.7,0,0,,0,3,3,0,0,0,1,2,4
R0007,RAP014,19,5,2,9,22.2,1,5,20,0,0,,1,3,4,2,1,2,1,3,-7
R0007,RAP013,34,9,3,14,21.4,0,9,0,3,5,60,2,4,6,15,2,1,4,3,-10
R0007,RAP011,2,0,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,8
R0007,RAP010,13,10,3,10,30,0,1,0,4,4,100,2,1,3,0,1,0,0,1,-21
R0007,RAP007,5,0,0,4,0,0,0,,0,0,,2,2,4,0,0,0,0,1,7
R0007,RAP004,13,4,1,5,20,0,1,0,2,2,100,0,2,2,1,0,0,0,1,-15
R0007,RAP003,30,8,3,6,50,2,3,66.7,0,0,,1,4,5,1,1,0,1,0,-6
R0007,RAP001,2,6,1,2,50,0,1,0,4,6,66.7,2,0,2,0,0,1,0,0,8
R0007,RAP002,19,4,1,7,14.3,1,7,14.3,1,2,50,0,1,1,0,0,1,1,1,-27
R0008,RAP022,30,16,7,13,53.8,0,1,0,2,2,100,4,4,8,1,2,3,2,3,16
R0008,RAP020,33,15,6,8,75,0,1,0,3,4,75,1,14,15,2,3,0,3,3,24
R0008,RAP018,14,4,1,2,50,1,1,100,1,2,50,0,0,0,1,0,0,0,0,5
R0008,RAP015,4,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,-4
R0008,RAP014,4,0,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,3
R0008,RAP013,37,20,7,14,50,3,7,42.9,3,4,75,0,3,3,12,1,0,5,3,20
R0008,RAP012,34,31,10,19,52.6,2,5,40,9,10,90,1,6,7,4,4,0,0,4,11
R0008,RAP010,17,23,8,14,57.1,1,3,33.3,6,6,100,1,3,4,1,0,2,3,4,1
R0008,RAP004,14,7,3,9,33.3,1,2,50,0,0,,1,3,4,1,1,0,0,3,-9
R0008,RAP003,35,10,4,9,44.4,2,4,50,0,0,,1,1,2,4,2,1,2,4,20
R0008,RAP002,18,3,1,4,25,1,3,33.3,0,0,,0,0,0,2,0,0,0,2,-2
R0009,RAP022,23,14,6,12,50,0,4,0,2,4,50,0,4,4,1,2,2,1,2,11
R0009,RAP020,27,10,4,5,80,0,0,,2,4,50,1,4,5,1,1,0,0,2,7
R0009,RAP019,21,2,1,3,33.3,0,2,0,0,0,,0,1,1,0,0,0,0,3,2
R0009,RAP018,14,8,3,6,50,2,4,50,0,1,0,0,2,2,1,0,0,0,1,11
R0009,RAP013,32,11,4,9,44.4,1,5,20,2,2,100,2,4,6,12,2,0,3,3,5
R0009,RAP012,30,19,7,14,50,1,2,50,4,6,66.7,2,4,6,5,2,1,2,0,4
R0009,RAP010,24,16,7,10,70,1,2,50,1,2,50,1,6,7,1,1,4,2,6,3
R0009,RAP007,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,-5
R0009,RAP006,20,8,3,7,42.9,2,4,50,0,0,,0,3,3,6,2,1,2,2,7
R0009,RAP004,7,2,0,0,,0,0,,2,2,100,0,2,2,0,0,0,0,2,-2
