PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Pascal Siakam,TOR,05/23/2019,TOR @ MIL,W,36,14,5,15,33.3,2,7,28.6,2,2,100,3,10,13,2,1,3,1,4,8
Pascal Siakam,TOR,05/21/2019,TOR vs. MIL,W,23,7,3,6,50,0,2,0,1,1,100,1,3,4,6,0,0,2,5,2
Pascal Siakam,TOR,05/19/2019,TOR vs. MIL,W,51,25,9,18,50,2,5,40,5,9,55.6,1,10,11,1,3,1,3,4,12
Pascal Siakam,TOR,05/17/2019,TOR @ MIL,L,26,8,4,9,44.4,0,2,0,0,0,-,1,0,1,2,1,0,0,6,-21
Pascal Siakam,TOR,05/15/2019,TOR @ MIL,L,42,15,6,20,30,2,9,22.2,1,2,50,2,4,6,3,0,1,1,3,1
Pascal Siakam,TOR,05/12/2019,TOR vs. PHI,W,38,11,4,11,36.4,0,2,0,3,4,75,2,9,11,2,2,0,1,3,-6
Pascal Siakam,TOR,05/09/2019,TOR @ PHI,L,33,21,8,16,50,2,6,33.3,3,4,75,4,2,6,3,2,0,3,3,-21
Pascal Siakam,TOR,05/07/2019,TOR vs. PHI,W,34,25,7,19,36.8,2,7,28.6,9,10,90,0,8,8,3,2,1,1,1,35
Pascal Siakam,TOR,05/05/2019,TOR @ PHI,W,29,9,2,10,20,0,4,0,5,6,83.3,0,3,3,2,3,0,0,4,-5
Pascal Siakam,TOR,05/02/2019,TOR @ PHI,L,34,20,7,15,46.7,0,3,0,6,8,75,2,1,3,1,1,1,0,3,-18
Pascal Siakam,TOR,04/29/2019,TOR vs. PHI,L,40,21,9,25,36,2,7,28.6,1,2,50,2,5,7,3,4,1,2,5,0
Pascal Siakam,TOR,04/27/2019,TOR vs. PHI,W,35,29,12,15,80,3,4,75,2,4,50,0,7,7,1,0,0,3,3,15
Pascal Siakam,TOR,04/23/2019,TOR vs. ORL,W,32,24,8,16,50,3,5,60,5,6,83.3,0,6,6,4,0,1,2,2,22
Pascal Siakam,TOR,04/21/2019,TOR @ ORL,W,36,16,7,14,50,2,6,33.3,0,0,-,0,6,6,2,0,1,2,0,11
Pascal Siakam,TOR,04/19/2019,TOR @ ORL,W,42,30,13,20,65,3,4,75,1,1,100,3,8,11,4,0,0,0,3,13
Pascal Siakam,TOR,04/16/2019,TOR vs. ORL,W,37,19,8,16,50,0,3,0,3,3,100,2,8,10,1,0,0,0,2,21
Pascal Siakam,TOR,04/13/2019,TOR vs. ORL,L,42,24,12,24,50,0,4,0,0,0,-,3,6,9,4,1,2,1,3,-4
Norman Powell,TOR,06/13/2019,TOR @ GSW,W,11,0,0,2,0,0,1,0,0,0,-,0,1,1,0,0,0,1,2,5
Norman Powell,TOR,06/10/2019,TOR vs. GSW,L,12,2,1,2,50,0,1,0,0,0,-,0,2,2,1,0,0,0,0,6
